CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Gender_Int,Geography_Germany,Geography_Spain,Balance_Int,PC1
619,42,2,0.0,1,1,1,101348.88,1,1,0,0,0,-0.24401732979312035
608,41,1,83807.86,1,0,1,112542.58,0,1,0,1,1,-0.03674124158585536
502,42,8,159660.8,3,1,0,113931.57,1,1,0,0,1,0.8682672379719811
699,39,1,0.0,2,0,0,93826.63,0,1,0,0,0,0.3880122399621479
850,43,2,125510.82,1,1,1,79084.1,0,1,0,1,1,-0.02161469713607843
645,44,8,113755.78,2,1,0,149756.71,1,0,0,1,1,0.4745774016162621
822,50,7,0.0,2,1,1,10062.8,0,0,0,0,0,-0.49427839881981767
376,29,4,115046.74,4,1,0,119346.88,1,1,1,0,1,0.6816001741050957
501,44,4,142051.07,2,0,1,74940.5,0,0,0,0,1,-0.3317599562258147
684,27,2,134603.88,1,1,1,71725.73,0,0,0,0,1,-1.6764606757281855
528,31,6,102016.72,2,0,0,80181.12,0,0,0,0,1,-0.47401856009916166
497,24,3,0.0,2,1,0,76390.01,0,0,0,1,0,-1.1934554003801394
476,34,10,0.0,2,1,0,26260.98,0,1,0,0,0,-0.0367804887636922
549,25,5,0.0,2,0,0,190857.79,0,1,0,0,0,-0.5993063427197545
635,35,7,0.0,2,1,1,65951.65,0,1,0,1,0,-0.9560903697167722
616,45,3,143129.41,2,0,1,64327.26,0,0,1,0,1,0.5531016320697029
653,58,1,132602.88,1,1,0,5097.67,1,0,1,0,1,2.5606848986267243
549,24,9,0.0,2,1,1,14406.41,0,1,0,1,0,-1.7981197134344737
587,45,6,0.0,1,0,0,158684.81,0,0,0,1,0,0.5065353336783632
726,24,6,0.0,2,1,1,54724.03,0,1,0,0,0,-1.8827526635163474
732,41,8,0.0,2,1,1,170886.17,0,0,0,0,0,-1.0657214624649634
636,32,8,0.0,2,1,0,138555.46,0,1,0,1,0,-0.1873666197901535
510,38,4,0.0,1,1,0,118913.53,1,1,0,1,0,0.50809096581531
669,46,3,0.0,2,0,1,8487.75,0,0,0,0,0,-0.6164656554995315
846,38,5,0.0,1,1,1,187616.16,0,1,0,0,0,-0.6987189591958533
577,25,3,0.0,2,0,1,124508.29,0,0,0,0,0,-2.1188762714177964
756,36,2,136815.64,1,1,1,170041.95,0,0,1,0,1,-0.10673692750662957
571,44,9,0.0,2,0,0,38433.35,0,0,0,0,0,0.20752063970149043
574,43,3,141349.43,1,1,1,100187.43,0,1,1,0,1,1.0306308336815404
411,29,0,59697.17,2,1,1,53483.21,0,0,0,0,1,-1.5817212513337293
591,39,3,0.0,3,1,0,140469.38,1,1,0,1,0,0.3403078811032078
533,36,7,85311.7,1,0,1,156731.91,0,0,0,0,1,-0.9733888000331135
553,41,9,110112.54,2,0,0,81898.81,0,0,1,0,1,1.1294755296789762
520,42,6,0.0,2,1,1,34410.55,0,1,0,1,0,-0.34377257594413957
