,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Gender_int,Geography_France,Geography_Germany,Geography_Spain,Exited,Age,CreditScore
0,2,0.0,1,1,1,101348.88,1,1,0,0,1,3.7376696182833684,6.428105272684596
1,1,83807.86,1,0,1,112542.58,1,0,0,1,0,3.713572066704308,6.410174881966167
2,8,159660.8,3,1,0,113931.57,1,1,0,0,1,3.7376696182833684,6.218600119691729
3,1,0.0,2,0,0,93826.63,1,1,0,0,0,3.6635616461296463,6.54965074223381
4,2,125510.82,1,1,1,79084.1,1,0,0,1,0,3.7612001156935624,6.745236349484363
5,8,113755.78,2,1,0,149756.71,0,0,0,1,1,3.784189633918261,6.4692503167957724
6,7,0.0,2,1,1,10062.8,0,1,0,0,0,3.912023005428146,6.71174039505618
7,4,115046.74,4,1,0,119346.88,1,0,1,0,1,3.367295829986474,5.929589143389895
8,4,142051.07,2,0,1,74940.5,0,1,0,0,0,3.784189633918261,6.2166061010848646
9,2,134603.88,1,1,1,71725.73,0,1,0,0,0,3.295836866004329,6.52795791762255
10,6,102016.72,2,0,0,80181.12,0,1,0,0,0,3.4339872044851463,6.269096283706261
11,3,0.0,2,1,0,76390.01,0,0,0,1,0,3.1780538303479458,6.208590026096629
12,10,0.0,2,1,0,26260.98,1,1,0,0,0,3.5263605246161616,6.16541785423142
13,5,0.0,2,0,0,190857.79,1,1,0,0,0,3.2188758248682006,6.3080984415095305
14,7,0.0,2,1,1,65951.65,1,0,0,1,0,3.5553480614894135,6.453624998892692
15,3,143129.41,2,0,1,64327.26,0,0,1,0,0,3.8066624897703196,6.423246963533519
16,1,132602.88,1,1,0,5097.67,0,0,1,0,1,4.060443010546419,6.481577129276431
17,9,0.0,2,1,1,14406.41,1,0,0,1,0,3.1780538303479458,6.3080984415095305
18,6,0.0,1,0,0,158684.81,0,0,0,1,0,3.8066624897703196,6.375024819828097
19,6,0.0,2,1,1,54724.03,1,1,0,0,0,3.1780538303479458,6.587550014824796
20,8,0.0,2,1,1,170886.17,0,1,0,0,0,3.713572066704308,6.595780513961311
21,8,0.0,2,1,0,138555.46,1,0,0,1,0,3.4657359027997265,6.455198563340122
22,4,0.0,1,1,0,118913.53,1,0,0,1,1,3.6375861597263857,6.234410725718371
23,3,0.0,2,0,1,8487.75,0,1,0,0,0,3.828641396489095,6.505784060128229
24,5,0.0,1,1,1,187616.16,1,1,0,0,0,3.6375861597263857,6.740519359606223
25,3,0.0,2,0,1,124508.29,0,1,0,0,0,3.2188758248682006,6.3578422665081
26,2,136815.64,1,1,1,170041.95,0,0,1,0,0,3.58351893845611,6.628041376179533
27,9,0.0,2,0,0,38433.35,0,1,0,0,0,3.784189633918261,6.3473892096560105
28,3,141349.43,1,1,1,100187.43,1,0,1,0,0,3.7612001156935624,6.352629396319567
29,0,59697.17,2,1,1,53483.21,0,1,0,0,0,3.367295829986474,6.018593214496234
30,3,0.0,3,1,0,140469.38,1,0,0,1,1,3.6635616461296463,6.3818160174060985
31,7,85311.7,1,0,1,156731.91,0,1,0,0,0,3.58351893845611,6.278521424165844
32,9,110112.54,2,0,0,81898.81,0,0,1,0,0,3.713572066704308,6.315358001522335
33,6,0.0,2,1,1,34410.55,1,0,0,1,0,3.7376696182833684,6.253828811575473
34,9,0.0,2,1,1,142033.07,1,0,0,1,0,3.367295829986474,6.582025138892826
35,0,134264.04,1,1,0,27822.99,1,1,0,0,1,3.8066624897703196,6.163314804034641
36,3,145260.23,1,0,1,114066.77,0,0,0,1,0,3.4339872044851463,6.194405391104672
37,7,76548.6,1,0,1,98453.45,0,0,0,1,0,3.4965075614664802,6.6895992691789665
38,7,0.0,1,1,1,40812.9,0,1,0,0,0,3.58351893845611,6.745236349484363
39,6,70349.48,2,0,1,178074.04,0,0,1,0,0,3.713572066704308,6.366470447731438
40,4,0.0,1,1,0,70154.22,0,0,0,1,0,3.6888794541139363,6.156978985585555
41,8,122522.32,1,0,0,181297.65,1,1,0,0,1,3.9318256327243257,6.142037405587356
42,2,117419.35,1,1,1,94153.83,1,1,0,0,0,4.110873864173311,6.320768294250582
43,2,131394.56,1,0,0,194365.76,1,1,0,0,1,3.8918202981106265,6.726233402358747
44,5,155931.11,1,1,1,158338.39,1,0,0,1,0,4.110873864173311,6.492239835020471
45,4,109421.13,2,1,1,126517.46,1,0,1,0,0,3.4657359027997265,6.654152520183219
46,9,112045.67,1,1,1,119708.21,1,0,1,0,1,3.295836866004329,6.720220155135295
47,9,137843.8,1,1,1,117622.8,1,0,1,0,1,3.6635616461296463,6.456769655572163
48,2,103391.38,1,0,1,90878.13,0,0,1,0,0,3.6375861597263857,6.309918278226516
49,2,103769.22,2,1,0,194099.12,1,0,1,0,0,3.6109179126442243,6.654152520183219
50,10,116363.37,2,1,0,198059.16,0,0,1,0,0,3.784189633918261,6.548219102762372
51,5,146050.97,2,0,0,86424.57,0,0,1,0,0,3.58351893845611,6.371611847231857
52,5,0.0,2,0,0,116978.19,1,1,0,0,0,3.4965075614664802,6.669498089857879
53,8,125561.97,1,0,0,164040.94,0,0,1,0,1,3.713572066704308,6.484635235635252
54,1,98495.72,1,1,0,40014.76,0,0,1,0,1,3.7376696182833684,6.398594934535208
55,1,125211.92,1,1,1,113410.49,0,1,0,0,0,3.7612001156935624,6.428105272684596
56,5,127864.4,1,1,0,87107.57,0,1,0,0,0,3.8066624897703196,6.486160788944089
